Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Denly to de Kock, no run," forward, close to the pitch of it and blocked out"
Denly to de Kock, no run," spinning down leg, well down in fact"
Denly to de Kock, no run," another drop. 30, 56, 63. Life^3. Stokes^3. Quinton gets cramped on his chop as it spins back in big, takes the top-edge and dips low to first slip's right, where Stokes' anticipation was taking him moving to his left. Alas, the perils of having a cricketing brain .."
Denly to de Kock, no run," draws him forward with the loop, more blocks"
Denly to de Kock, no run," a hurried shuffle, and defence it will stay"
Slip. Leg-slip. Short leg., no run," a hurried shuffle, and defence it will stay"
Denly to de Kock, no run," back deep in the crease, knocking a straight bat down the pitch"
Joe Denly [3.0-0-10-0] is back into the attack, no run," back deep in the crease, knocking a straight bat down the pitch"
Dom Bess to Philander, no run," extracts some turn, from outside off, to get Philander to one-hand his already soft nudge"
Dom Bess to Philander, no run," inside-edge, on the front pad .. and just short of the forward diving Buttler. Well, well, well"
Dom Bess to Philander, no run, fired in quicker. Stoopy. Smother
Dom Bess to Philander, no run," full, but Philander gets deep in his crease at first to stoop in on his drive"
Dom Bess to Philander, no run," back, across, leaning then in ensuring his defence is jammed down"
Dom Bess to Philander, no run," back, very soft in defence, almost sneaking through his legs"
Root to de Kock, no run," moves away, carving the new found room, but the diving point is the buzzkill"
Root to de Kock, no run," a tad short, knocked back down"
Root to de Kock, no run," leans on a cover drive, but realizes he's too close to end up with a flick back down the pitch"
Root to de Kock, no run," short, wide, slapped away, extra cover"
Root to Philander, 1 run," wristed with the spin, off the legs, mid-wicket"
Root to de Kock, 1 run," a dash of inside-out in this drive, through sweeper"
Dom Bess to de Kock, 1 run," full toss, leg-lined with the round the wicket drift. Gives Quinton enough time to line up and clip away round the corner"
Dom Bess to de Kock, no run," full on middle, yorked jam"
Dom Bess to de Kock, no run," sticks his front leg out, letting the flighted turner do its bit outside off"
Dom Bess to de Kock, no run," on middle, more of a bat-pad stuck keep out in this"
Dom Bess to de Kock, no run," back, across, punching a straight bat down the pitch"
Dom Bess to de Kock, no run," inside-edges his defence, thanks to Bess' straighter one"
Okay the bad light's not coming. We'd rather countdown to the five overs that remain in the day., no run," inside-edges his defence, thanks to Bess' straighter one"
Root to Philander, no run, much quicker. Leaning forward block
Root to de Kock, 1 run," flights the invite outside off, and gets sliced, extra cover"
Root to Philander, 1 run," tucked away with the spin, from well down leg, through square leg"
Root to Philander, no run," full, dipping under the swinging drive. Tamely then down the pitch"
Root to de Kock, 1 run," short, wide, slow. Whacked away through point"
Root to de Kock, no run," base of off, squeezy-on-drive, mid-on"
The light keeps passing yesterday's threshold., no run," base of off, squeezy-on-drive, mid-on"
Dom Bess to Philander, no run," comfortable nudge, opening up his stance on the back foot and tucking away. All too soft"
Dom Bess to de Kock, 1 run," fired in on the toes, gives out the single with a flick through square leg"
Dom Bess to de Kock, no run," massive plonk, properly bunted down into the pitch"
Dom Bess to de Kock, no run," forward, lining his block up well"
Dom Bess to de Kock, no run," slight loop, and dipping just too full for Quinton's front-leg-cleared hoick to come out right. Only off the toe-end eventually"
Two slips. Over the wicket., no run," slight loop, and dipping just too full for Quinton's front-leg-cleared hoick to come out right. Only off the toe-end eventually"
Dom Bess to de Kock, no run," drifting into middle, and a stoopy back foot keep out"
Root to Philander, no run," again, Root tempts with one down leg. And a more comfortable nudge out"
Root to Philander, no run," inside-edges his glance one-handed, and it's good enough to get it wide of leg-slip"
Root to Philander, no run," too straight, and glanced away rather easily round the corner"
Root to Philander, no run," back foot, adopting the line, adopting the defence"
Root to Philander, no run," forward, head-on-balling it now, down the pitch"
Root to Philander, no run," leans, wristy, knocking, short mid-wicket"
Dom Bess to Philander, 1 run," leg-lined, and clipped with the spin to bisect the two men around there"
Dom Bess to Philander, no run," forward, fuller, straighter defence now"
Dom Bess to Philander, no run," another press, soft-handing the inside-edge .. just as leg-slip, short leg wait in anticipation"
Dom Bess to Philander, no run," back, behind, nudging softly off the thighs with the spin, short leg"
Dom Bess to Philander, no run, leans in and takes it on the full and toe-ends down the pitch
Dom Bess to Philander, no run," back, across, stooping into the straight batted block"
Root to de Kock, no run," too full, and an easy drive-out, mid-off"
Root to de Kock, no run," beaten. Draws him forward, dips sharply and rips past"
Root to de Kock, 2 runs," dropped. Root. Quinton. Stokes. Drop. Join the dots. It's short, wide, enticing a cut and Quinton goes hard after it. But, but, finds the top-edge, flying down first slip's throat, and Stokes is completely undone by how quickly it's come to him, messing up the reverse cup"
Root to de Kock, no run," leans out in front, to the pitch, smother"
Root to de Kock, no run," back-foot now, lining up the spin easier, defensive"
Root to de Kock, no run," massive rip outside off .. finds the footholes, and completely goes past the loose half-poke"
Joe Root [7.0-3-18-0] is back into the attack, no run," massive rip outside off .. finds the footholes, and completely goes past the loose half-poke"
Another reading. And now it's failed the fast bowling test. So Root and the understudy., no run," massive rip outside off .. finds the footholes, and completely goes past the loose half-poke"
Dom Bess to Philander, no run," leans out in front, inside-edging the forward block onto the front knee flap, popping down the pitch only though"
Dom Bess to Philander, no run," flat, on the stumps, jabbed away off the legs towards square leg"
Dom Bess to Philander, no run," draws him forward with the loop, strokes his defence through the line"
Dom Bess to Philander, no run," spinning in big on the thighs, fended away"
Dom Bess to Philander, no run," on off, and bat-pad stuck"
Dom Bess to Philander, no run," drifting into middle and spinning into the pads, turned away to square leg"
Broad to de Kock, no run," 126kph, length, just outside off, another block down the pitch"
Broad to de Kock, no run," 124kph, forward again, lining up, covering the line and blocking down the pitch"
Broad to de Kock, no run," 131kph, kicks up more than normal off a good length, spitting off QdK's gloves on the forward defence, safely enough to leg"
Broad to de Kock, FOUR," the maker's name. GM, you lucky dog. It's a juicy overpitch, which Quinton's plonking out to and punching damn straight"
Slip. Point. Short mid-wicket. Square leg., FOUR," the maker's name. GM, you lucky dog. It's a juicy overpitch, which Quinton's plonking out to and punching damn straight"
Broad to de Kock, no run," 122kph, angling in on off, big pressy block. Stern"
Broad to de Kock, no run," 131kph, full, on off, a falling over flick, mid-on"
Stuart Broad [10.0-4-26-0] is back into the attack, no run," 131kph, full, on off, a falling over flick, mid-on"
Dom Bess to Philander, no run," takes it on the low full toss, stroking it down the pitch"
Dom Bess to Philander, no run," slowly turning in on off. Knocked out off the back foot, to leg"
QdK at home since 2019:591812980558619534205052* - (today)- Eight 50+ scores in 12 Test innings, no run," slowly turning in on off. Knocked out off the back foot, to leg"
Dom Bess to Philander, no run," forward, close to the pitch, opening up his defence"
Dom Bess to Philander, no run," forward, pushing it out into the covers"
Dom Bess to Philander, no run," back foot streaky nudge, but just short of the crouching short leg now"
Dom Bess to Philander, no run," coming in with the arm, and nudged out softly to short leg"
Stokes to de Kock, FOUR," just a typically Quinton punch -- leaning in front, crunching away through extra cover. Also, just like that, a fifty #20"
Two short covers now. One wide slip., FOUR," just a typically Quinton punch -- leaning in front, crunching away through extra cover. Also, just like that, a fifty #20"
Stokes to Philander, 1 run," 138kph, nips in on the top of middle, knocked out, mid-wicket"
Stokes to Philander, FOUR," 86mph in the short, down leg line. Philander takes it near the armpits, and swivels, full-bloods away with his heave behind square"
Stokes to Philander, no run," 140kph, lines up on off, and there's slight late tail back in on this, but still, Philander's trusted the initial fifth-stump line to be leaving"
Stokes to Philander, no run," 135kph, short, gets Philander ducking, and Buttler gets fidgety behind the stumps. Never mind, no damage"
